Gene,Method,Simulation,Sequences,Codons,LRT p-value,cAIC,w1,p1,w2,p2,w3,p3,CV(omega),SRV1,SRV_p1,SRV2,SRV_p2,SRV3,SRV_p3,CV(alpha)_calculated,CV(alpha)_simulated,DH_Rate,TH_Rate,TH_Rate_SI,BUSTEDS-MH_num_ER_Sites,BUSTEDS-MH_ER_Sites,BUSTEDS_num_ER_Sites,BUSTEDS_ER_Sites
10124.replicate.1,BUSTEDS,null-2.0,20.0,5000.0,0.3182586868601274,230973.1908743914,0.9994,0.0,1.0,0.7923,1.0781,0.2077,0.03602819770998492,0.3425,0.2684,1.1978,0.7106,2.7041,2.7041,0.6900291024389055,2.0,,,,,,0.0,
10124.replicate.1,BUSTEDS,null-2.3,20.0,5000.0,0.4969815568597597,233691.9029772797,0.9552,0.5867,0.9617,0.2887,1.3111,0.1246,0.15451857065460423,0.3087,0.238,1.1337,0.7216,2.6835,2.6835,0.7158035151361035,2.3,,,,,,0.0,
10124.replicate.1,BUSTEDS-MH,null-2.0,20.0,5000.0,0.3204314884681242,230979.075570134,1.0,0.0957,1.0,0.7302,1.0924,0.174,0.04225628416869553,0.3424,0.2682,1.1975,0.7107,2.7013,2.7013,0.6897195118607958,2.0,0.0,0.0,0.06249651002131515,0.0,,,
10124.replicate.1,BUSTEDS-MH,null-2.3,20.0,5000.0,0.5,233694.7607310641,0.8683,0.0,1.0,0.9999,1.0,0.0001,0.06493460452691024,0.3096,0.2381,1.1341,0.7219,2.6858,2.6858,0.7156598064646366,2.3,0.004010375555533409,0.0004793009112579807,0.1820624091735793,,,,
10124.replicate.10,BUSTEDS,null-2.0,20.0,5000.0,0.4947223298951301,233386.782641585,0.9156,0.0595,0.9519,0.0414,1.0123,0.899,0.04154892020804693,0.3054,0.2311,1.125,0.719,2.4154,2.4154,0.6775095976366392,2.0,,,,,,0.0,
10124.replicate.10,BUSTEDS,null-2.3,20.0,5000.0,0.5,232605.3759919147,0.6263,0.0,0.9791,1.0,1.8865,0.0,0.45604558698285697,0.2835,0.22,1.1338,0.7373,2.3793,2.3793,0.6800788113852649,2.3,,,,,,,
10124.replicate.10,BUSTEDS-MH,null-2.0,20.0,5000.0,0.5,233388.4405129328,0.9222,0.0,1.0,1.0,3.2825,0.0,0.6310330778351604,0.3065,0.2321,1.1258,0.7179,2.4137,2.4137,0.6765384051395482,2.0,0.0,0.0,0.1890347165041306,,,,
10124.replicate.10,BUSTEDS-MH,null-2.3,20.0,5000.0,0.5,232609.2345523154,0.0423,0.0,0.9788,1.0,11.0065,0.0,1.2377999600664797,0.2829,0.2189,1.1322,0.7376,2.3685,2.3685,0.6789682949614418,2.3,0.0,0.004833815269117909,0.0,,,,
10124.replicate.2,BUSTEDS,null-2.0,20.0,5000.0,0.06515495757991197,232563.0382914129,0.4231,0.1547,0.6439,0.1948,1.2413,0.6505,0.44919021671119447,0.3161,0.2456,1.1511,0.72,2.7204,2.7204,0.7140322061453198,2.0,,,,,,0.0,
10124.replicate.2,BUSTEDS,null-2.3,20.0,5000.0,0.05163628308337831,234326.6663008526,0.9574,0.5497,1.0,0.2128,1.2572,0.2375,0.12359210538714363,0.2439,0.184,1.1008,0.7715,2.3788,2.3788,0.706756492903458,2.3,,,,,,0.0,
