,Filename,Sequences,Method,Codons,LRT p-value,cAIC,omega_3,proportion_3,DH_Rate,TH_Rate,TH_Rate_SI,num_ER_Sites,omega3_setting,SRV_setting
1,add_D_100_replicate.1,31,BUSTEDS-MH,100,0.3267075427218628,6390.37850837508,1.336911415575288,0.09143144042179056,0.0,0.0,0.0,0.0,2.077,0.34608458
2,add_D_100_replicate.10,31,BUSTEDS-MH,100,0.4427711205399244,6353.634733772294,1.507306378408008,0.04824214186074654,0.0,0.0,0.0,0.0,2.077,0.34608458
3,add_D_100_replicate.100,31,BUSTEDS-MH,100,0.5,6134.914092381006,1.001562523590383,0.0,0.0,0.0,0.0,,2.077,0.34608458
4,add_D_100_replicate.11,31,BUSTEDS-MH,100,0.06531268382557931,6316.573066220173,3.488098335525085,0.025316646842154,0.0,0.0,0.0,4.0,2.077,0.34608458
5,add_D_100_replicate.12,31,BUSTEDS-MH,100,0.5,6922.290291325678,1.001553749237535,0.0,0.2896759542128806,0.0,0.0,,2.077,0.34608458
6,add_D_100_replicate.13,31,BUSTEDS-MH,100,0.4650165200493456,6653.761166210742,1.254180301352559,0.07687423519160826,0.0,0.7828452910037473,0.0,0.0,2.077,0.34608458
7,add_D_100_replicate.14,31,BUSTEDS-MH,100,0.4716145151784922,6264.914397883334,1.200465290173807,0.0570647649906724,0.1286820859375735,0.0,0.0,0.0,2.077,0.34608458
8,add_D_100_replicate.15,31,BUSTEDS-MH,100,0.5,5886.199202754328,1.001564278474794,0.0,0.0,0.0,0.0,,2.077,0.34608458
9,add_D_100_replicate.16,31,BUSTEDS-MH,100,0.3499713556220081,6331.417481378552,3.043349581901622,0.01436000930301133,0.0,0.0,0.0,0.0,2.077,0.34608458
10,add_D_100_replicate.17,31,BUSTEDS-MH,100,0.1577670020331869,6024.461016819731,3.457200963897447,0.01735513419863179,0.0,0.0,0.0,2.0,2.077,0.34608458
11,add_D_100_replicate.18,31,BUSTEDS-MH,100,0.1402221131215516,5943.818988051178,2.224729792087567,0.03956140677085734,0.1155358267762437,0.0,0.0,2.0,2.077,0.34608458
12,add_D_100_replicate.19,31,BUSTEDS-MH,100,0.3128582647394196,6340.347221624885,1.395334649671267,0.08847043015708808,0.0,0.0,0.0,0.0,2.077,0.34608458
13,add_D_100_replicate.2,31,BUSTEDS-MH,100,0.38463861399614,6087.431780562271,1.303712588302709,0.07788616456927694,0.0,0.0,0.0,0.0,2.077,0.34608458
14,add_D_100_replicate.20,31,BUSTEDS-MH,100,0.5,6161.580427446399,1.0,0.08536872634436053,0.02527062041841638,0.0,0.0,,2.077,0.34608458
15,add_D_100_replicate.21,31,BUSTEDS-MH,100,0.3489783769058663,6445.313697023073,1.452365384928473,0.06199387777871644,0.0,0.0,0.0,0.0,2.077,0.34608458
16,add_D_100_replicate.22,31,BUSTEDS-MH,100,0.5,6435.624570692175,1.001564863437289,0.0,0.0,0.0,0.0,,2.077,0.34608458
17,add_D_100_replicate.23,31,BUSTEDS-MH,100,0.4132754000284376,6072.802900270339,1.824396857929881,0.02768215994522845,0.0,0.5816053930443487,0.0,0.0,2.077,0.34608458
18,add_D_100_replicate.24,31,BUSTEDS-MH,100,0.3687225643791665,6086.07111650837,1.402997836886086,0.07633530811631523,0.0,0.7138091909310631,0.0,0.0,2.077,0.34608458
19,add_D_100_replicate.25,31,BUSTEDS-MH,100,0.1849785847210832,6428.246282296168,1.813967186317125,0.05180773605673527,0.0,0.0,0.0,0.0,2.077,0.34608458
