Gene,Method,Sequences,Codons,LRT p-value,cAIC,CV(omega),CV(alpha),w1,p1,w2,p2,w3,p3,SRV1,SRV_p1,SRV2,SRV_p2,SRV3,SRV_p3,DH_Rate,TH_Rate,TH_Rate_SI,NUM_ER_SITES,ER_SITES,WD_unweighted(omega),WD_weighted(omega),WD_unweighted(srv),WD_weighted(srv),ΔcAIC,RelativeSupport,ER_Sites_Intersection
Anguilliformes-ATP6,BUSTEDS,22,229,0.3141739349247576,16081.54263359117,1.322909441735327,1.154666003121434,0.01097485789545562,0.8185099911985521,0.07702263121945717,0.173700242540152,1.943159354717623,0.007789766261295959,0.1154516583265281,0.1334352629513433,0.4474962034394097,0.6974845803021851,3.977243627580838,0.1690801567464716,,,,0.0,,,,,,,,
Anguilliformes-ATP6,BUSTEDS-MH,22,229,0.5,16064.88157474606,1.2736172620846842,1.0593467465279782,0.02328395868380768,1.0,0.05550111298631359,0.0,1.106256843488093,0.0,0.1773480186484806,0.1556229663830993,0.5723404276468402,0.6860156943735867,3.661032813537623,0.1583613392433139,0.6407837927929873,0.9026581660509639,2.747741240287737,,,0.29024437675034187,0.034364923017080586,0.167650466190866,0.18513214363576092,16.661058845111256,0.00024104439675109364,
Anguilliformes-ATP8,BUSTEDS,22,63,0.4800279612685424,4495.920303007602,1.2899134271762203,1.0213584427126001,0.0,0.1273237250215707,0.08770834714873052,0.8496655839430735,1.384673374311963,0.02301069103535581,0.007233125300926169,0.08140839996631136,0.4250592957985895,0.4591409182820009,1.750457838867439,0.4594506817516877,,,,0.0,,,,,,2.6156687296606833,0.27040502137002276,
Anguilliformes-ATP8,BUSTEDS-MH,22,63,0.5,4498.535971737263,1.1761052127257718,0.9819949428280885,0.07786464518018475,1.0,0.08575231779400395,0.0,1.293941213714408,0.0,0.008819422917479768,0.07919161602357166,0.4681239101316307,0.4552216378889404,1.68862505032293,0.4655867460874879,0.6447060270127852,0.0,317.9226257431417,,,0.056850945044155464,0.04834844336144735,0.03549456683136791,0.056818233702765356,,,
Anguilliformes-COX1,BUSTEDS,22,545,0.1458019185470114,28936.3655209226,1.4137453900945938,1.3646890429165799,0.001339841346846982,0.8450381458042662,0.03555911472478292,0.1547461053771726,167.1468367991124,0.0002157488185612738,0.04406177852485749,0.08854750830022609,0.2032740630314105,0.8313085146885987,10.32036355984251,0.08014397701117523,,,,1.0,265,,,,,11.562144425177394,0.003085405423513908,
Anguilliformes-COX1,BUSTEDS-MH,22,545,0.5,28947.92766534778,1.4023723342087526,1.3118346471120066,0.0005240215848972754,0.0,0.005510837987390084,1.0,1.074052148977501,0.0,0.08146905334994131,0.081301336802621,0.3448642801464638,0.8343246436551417,8.363329058404945,0.08437401954223736,0.8834791646343021,0.9265482977093973,0.0,,,55.36788291554476,0.0442350486745583,0.7120106644592342,0.313689056186578,,,
Anguilliformes-COX3,BUSTEDS,22,262,0.5,14173.08830469503,1.3239683309669676,1.3002451457844075,0.009758342574358153,0.987657783846264,0.03484191646597879,0.005478799827541458,1.0,0.006863416326194526,0.04620472608464881,0.04523455127299557,0.3988456210594985,0.8709560770857804,7.762054764625669,0.08380937164122405,,,,,,,,,,2.4806610651212395,0.2892885828386203,
Anguilliformes-COX3,BUSTEDS-MH,22,262,0.4935923407266672,14175.56896576015,1.3769786954834637,1.2640103152389293,0.01142206698835129,0.0,0.01165801677796906,0.998886099694548,1.291822647284172,0.001113900305451998,0.05944764083486045,0.04506592372795808,0.4777386275570802,0.8714222119253117,6.957201711987929,0.0835118643467303,0.357590868387738,0.0,0.0,0.0,,0.10555675712872499,0.008010797362035775,0.2989963246285111,0.13876383227422245,,,
Anguilliformes-CYTB,BUSTEDS,22,391,0.5,24792.95591722735,1.325999276538009,1.1885736079050457,0.00661982946947243,0.7040154011065171,0.03701542060125607,0.2876340012791127,1.0,0.008350597614370226,0.07130062862835282,0.04953738642484322,0.3671370368448074,0.751592641395422,3.623123441078497,0.1988699721797348,,,,,,,,,,,,
Anguilliformes-CYTB,BUSTEDS-MH,22,391,0.5,24778.13887980264,1.3745180408672286,1.1129335622502352,0.004493878621487988,0.0,0.0166532086831812,1.0,1.107147564210688,0.0,0.1162445495393866,0.06712361450949138,0.4599028272412537,0.7422488526469941,3.414170503655563,0.1906275328435145,0.3939673314202104,2.251851685278758,0.0,,,0.04321190899224912,0.02113205135015088,0.11555421624347134,0.14063417892890392,14.817037424712908,0.0006060677906717805,
Anguilliformes-ND1,BUSTEDS,22,325,0.5,21789.72663598421,0.9196925432229202,1.0935712651836378,0.01739508010315484,0.9700130322222857,0.322189659922676,0.02642403063285817,1.0,0.003562937144856091,0.2060870076011576,0.2743146428523487,0.5899728844009868,0.5907789272981449,4.409899283493257,0.1349064298495064,,,,,,,,,,,,
Anguilliformes-ND1,BUSTEDS-MH,22,325,0.5,21774.36644307963,1.2490084545778786,1.034567771024188,0.0219119567247373,1.0,0.07247111883028204,0.0,1.109826300983626,0.0,0.2367686997193655,0.258754006651078,0.6373964679771807,0.6003464676523622,3.946616778905404,0.1408995256965597,0.3265580830863087,1.715117213500478,0.0,,,0.12135390623253416,0.015800842635866844,0.18046259342741822,0.12499957741136974,15.36019290457989,0.000461930342393584,
Anguilliformes-ND2,BUSTEDS,22,354,0.5,27938.02609738244,1.0258304850667959,1.060758370262736,0.02808085712522298,0.9040461096904832,0.207440918855525,0.09595389030951684,1.001555796576217,0.0,0.1007736826331703,0.08442885061669961,0.3795861851324125,0.5883330059199119,2.347430236488271,0.3272381434633885,,,,,,,,,,,,
Anguilliformes-ND2,BUSTEDS-MH,22,354,0.5,27905.600027166,1.2717939203703164,1.0027168110652223,0.03692406850124395,1.0,0.04315228955934591,0.0,1.11251494082932,0.0,0.1306507757027656,0.09576722494465552,0.4322999606194009,0.5814782166040675,2.280726664767542,0.322754558451277,0.5793220712654057,0.2131978558294318,0.0,,,0.09469699497510103,0.02435642599648137,0.04976481342577088,0.06587610818914003,32.42607021643926,9.094279920628279e-08,
Anguilliformes-ND3,BUSTEDS,22,117,0.3223164751468398,8405.466016170583,1.3798568001740594,1.0696996890127544,0.00898815463354957,0.4349033008926997,0.04234092072829915,0.5610002349882394,3.112365199137529,0.004096464119060924,0.1148001929964607,0.1291663854053965,0.4407631773410263,0.6160162440302056,2.800650502882459,0.2548173705643978,,,,0.0,,,,,,,,
Anguilliformes-ND3,BUSTEDS-MH,22,117,0.5,8389.911771874167,1.3431191345025586,1.127501727373146,0.0116664718602105,0.0,0.02674864507280979,1.0,1.106256843488093,0.0,0.0,0.008680019751907776,0.4299741334626173,0.7280521905069142,2.609344618065829,0.263267789741178,0.5945460949346841,1.559867695648616,0.0,,,0.6747929828438622,0.02911148372314505,0.10563170723049992,0.11259916965713353,15.554244296416073,0.00041921688435337187,
Anguilliformes-ND4,BUSTEDS,22,479,0.5,31062.29953036438,0.7826100745046966,1.1437067807536707,0.02105928717004189,0.9746555944772151,0.512308044786931,0.02534440552278494,1.002433289408972,0.0,0.1172528725558144,0.08334017798169645,0.4678624427458109,0.7548621729620975,3.937365396035956,0.1617976490562061,,,,,,,,,,,,
Anguilliformes-ND4,BUSTEDS-MH,22,479,0.5,30989.03222856935,1.3296741819162483,1.1010511437177914,0.02284773734478345,0.5953307340907252,0.02335665952820139,0.4046692659092748,1.113186652760773,0.0,0.1175620109824234,0.06012599076903259,0.5092545227564934,0.7701150764719547,3.538823389808813,0.1697589327590129,0.5919922316552898,1.107296221368507,1.528515135187288,,,0.20049773292842404,0.014328351993352908,0.14674774155481146,0.12896631931539154,73.2673017950292,1.2308568961827588e-16,
Anguilliformes-ND4L,BUSTEDS,22,100,0.5,7967.720707706724,1.2950134028341604,0.9317743099202466,0.001895709053097905,0.2124382879967992,0.06252798841288255,0.7875617120032008,1.066271878549725,0.0,0.3208374671571154,0.462436728432615,1.15774267313687,0.4752375291084493,4.836367640592195,0.06232574245893573,,,,,,,,,,,,
Anguilliformes-ND4L,BUSTEDS-MH,22,100,0.5,7961.045787941142,1.23788223609505,1.0515353507759906,0.04560622208943058,1.0,0.05607719546372965,0.0,1.121291470087792,0.0,0.3699993906463797,0.5361295349924744,1.398974306483374,0.4419725889200923,8.371775506635334,0.02189787608743335,0.2783335996607344,0.0,11.22165520509081,,,0.03506029917451757,0.022612721812716233,1.275267140959636,0.3940349834260893,6.6749197655817625,0.03552708616769404,
Anguilliformes-ND5,BUSTEDS,22,620,0.5,42358.19900532733,1.3589135333468636,1.1433717060059185,0.0,0.207307515945367,0.02695548306538711,0.7843911238295068,1.0,0.008301360225126125,0.1242210826135829,0.2572124365682908,0.4347908509837763,0.5490929382956314,3.765247519102314,0.1936946251360778,,,,,,,,,,,,
Anguilliformes-ND5,BUSTEDS-MH,22,620,0.5,42268.43767710179,1.3548128645101454,1.0929803363740318,0.01019116595863977,0.0,0.02194639408925676,1.0,1.114437196515549,0.0,0.1513883613244681,0.223698244102929,0.4866280283148092,0.5821680079287266,3.517345266826681,0.1941337479683445,0.4994235143819423,0.8777111060927357,4.205408232508288,,,0.04321248381677307,0.01659791267609946,0.10896890277251708,0.09603466764983618,89.76132822554064,3.225337987592431e-20,
Anguilliformes-ND6,BUSTEDS,22,178,0.09740577226142444,14336.99257818665,1.4142135623566932,0.8959782066813605,0.007572782902096461,0.4989511176126202,0.06974618159401173,0.499748176419255,9999999171.59636,0.001300705968124769,0.1758821540464825,0.2518625194420399,0.5133296909477607,0.3796529187899522,2.064712720762764,0.3684845617680079,,,,3.0,99|100|118,,,,,0.04030737970970222,0.9800480382907629,
Anguilliformes-ND6,BUSTEDS-MH,22,178,0.5,14337.03288556636,1.3169739651141037,0.8063275111872055,0.005845772863740537,0.1802529304484736,0.04667241238280527,0.8197470695515264,1.084599789847143,0.0,0.2219263709488851,0.2759958525860406,0.6223240834384557,0.373497525867825,2.015119524620578,0.3505066215461344,0.2423020458076114,1.737244175181214,4.689499008576156,,,3333333056.84552,13007058.627981244,0.06821060184509446,0.10069290746159798,,,
Anseriformes-ATP6,BUSTEDS,11,228,0.4991665676547194,5729.273542205053,1.3981356358651125,0.9499645715273188,0.003884322137368163,0.8702572897468911,0.004334052982358958,0.09699721063650621,1.076107160544648,0.0327454996166027,0.0,0.0388293550852405,0.409935819220041,0.2733255921405163,1.290921619470466,0.6878450527742432,,,,0.0,,,,,,6.079860449556691,0.047838227300662395,
Anseriformes-ATP6,BUSTEDS-MH,11,228,0.5,5735.353402654609,1.3972386827338086,0.9439145952723557,0.003988105876964833,0.9171963944417953,0.004078480279802148,0.04731521194463686,1.0,0.03548839361356779,0.0,0.0393609886088432,0.4086608281103351,0.2481325078877133,1.261178613004997,0.7125065035034435,0.0,0.0,0.0,,,0.025488838995600477,0.005341822625421719,0.010339332525058347,0.04198576443502858,,,
Anseriformes-ATP8,BUSTEDS,11,56,0.5,1454.220370709013,0.9669604421364295,0.8268285351521975,0.004601617035957118,0.7838339610760579,0.2935302790732369,0.2161660389239422,1.002284603510877,0.0,0.0,0.1622912151454427,0.7627172922962449,0.3979370556660415,1.583745566553906,0.4397717291885158,,,,,,,,,,6.915817762951065,0.03149555414153316,
Anseriformes-ATP8,BUSTEDS-MH,11,56,0.5,1461.136188471964,0.9726408932570548,0.8347367237731784,0.00409930959464987,0.781866438240725,0.2886674302983257,0.218133561759275,1.002325611930851,0.0,0.0,0.1617190078139107,0.7384617153277097,0.3840721657833636,1.577198345790865,0.4542088264027256,0.0,0.0,0.5969971467259728,,,0.0018020548787308262,0.002002826061926523,0.010267599243858744,0.02436259071200003,,,
Anseriformes-COX1,BUSTEDS,11,518,0.5,10513.81379041692,0.9653145941601569,0.9254187565459706,0.0004081167417263275,0.9919517772949494,0.5286142779150493,0.008048222705050567,1.754722781759518,0.0,0.05136977002272081,0.02937997053374694,0.3780120325145617,0.3086445642660978,1.332102842121166,0.6619754652001553,,,,,,,,,,6.599593477059898,0.03689066509003593,
Anseriformes-COX1,BUSTEDS-MH,11,518,0.5,10520.41338389398,1.3900262815321067,0.9115847849707363,0.0,0.9337393462584314,0.01156753216089436,0.06125645666325755,1.0,0.005004197078311097,0.05361178783661116,0.0311273413374618,0.3930332828677369,0.310131954146705,1.330476500862361,0.6587407045158332,0.0,0.0,0.0,,,0.42405921475179975,0.004963501957625809,0.006296536475290222,0.009351699985986867,,,
Anseriformes-COX2,BUSTEDS,11,229,0.5,4812.270089234976,1.3279033639356563,1.2253210994194996,0.01066712612050952,1.0,0.03397502514226359,0.0,1.049316609629003,0.0,0.2968138317332787,0.357217206770805,1.165218981221674,0.6321541858906449,14.80673155249457,0.01062860733855006,,,,,,,,,,6.219833876377379,0.04460466013027242,
Anseriformes-COX2,BUSTEDS-MH,11,229,0.5,4818.489923111353,1.3820442590902648,1.225076770666185,0.006415245199642,0.0,0.01064377371264722,1.0,1.107585045171083,0.0,0.2953405577255974,0.3569345398092003,1.159575263656075,0.6320797117338927,14.71349505131892,0.01098574845690708,0.0,0.0,0.0,,,0.02861718929752128,2.335240786230028e-05,0.03345116424964327,0.010165041240070184,,,
Anseriformes-COX3,BUSTEDS,11,262,0.5,5507.019390554667,1.3875915034963866,1.3873189927709497,0.0,0.5483560051969029,0.01352387076121112,0.4516439948030971,1.060639063882135,0.0,0.1003762807885238,0.2487082075312032,0.571313957759366,0.7407248020853052,52.22387423562802,0.01056699038349165,,,,,,,,,,8.937432655652628,0.01146201988688844,
