File,N,S,T,AIC-c,plain,+S,+MH,p,p_plain,p_s,p_MH,omega1_BUSTED,p1_BUSTED,omega2_BUSTED,p2_BUSTED,omega3_BUSTED,p3_BUSTED,omega1_S,p1_S,omega2_S,p2_S,omega3_S,p3_S,omega1_noS,p1_noS,omega2_noS,p2_noS,omega3_noS,p3_noS,omega1_MH,p1_MH,omega2_MH,p2_MH,omega3_MH,p3_MH,SRV_S,SRV_MH,delta,psi,S1,S2,S3,SP1,SP2,SP3,L1,L2,L3,EB
ENSG00000118245,24,55,0.81,1774.18131,-14.98625,-4.41192,-10.58451,0.49945,0.50000,0.50000,0.50000,0.07932,0.87485,0.32663,0.07371,1.00000,0.05144,0.03841,0.20221,0.11779,0.74693,1.00080,0.05086,0.01651,0.69573,0.43992,0.30427,3.26935,0.00000,0.02387,0.06087,0.10670,0.89206,1.06483,0.04707,0.22232,0.22231,0.00000,0.00000,119,2,0,0.0569378,0.000956938,0,0.03442,0.02412,0.00000,0
ENSG00000166002,24,59,1.58,1469.57643,3.19465,-4.38488,7.54908,0.50000,0.50000,0.50000,0.50000,0.01889,1.00000,0.20573,0.00000,1.00156,0.00000,0.00856,1.00000,0.02186,0.00000,1.09490,0.00000,0.01228,0.12020,0.01992,0.87980,1.09795,0.00000,0.00807,0.00000,0.00857,1.00000,1.09110,0.00000,1.19323,1.19181,0.00000,0.00000,99,1,0,0.044157,0.00044603,0,0.07644,0.32075,0.00000,0
ENSG00000205362,24,61,0.94,2011.34502,7.26874,-4.27772,11.64666,0.50000,0.50000,0.50000,0.50000,0.00000,0.38255,0.17813,0.55481,1.00000,0.06264,0.07450,0.73847,0.45725,0.26153,1.00156,0.00000,0.00000,0.24540,0.14347,0.69287,1.00000,0.06172,0.00000,0.42180,0.29720,0.57820,1.00232,0.00000,0.69738,0.69729,0.00000,0.00000,136,7,0,0.0571669,0.00294241,0,0.04113,0.05776,0.00000,0
ENSG00000137731,24,64,1.30,2243.80886,-3.56708,-4.98505,0.77432,0.50000,0.50000,0.33386,0.50000,0.15254,0.65426,0.18507,0.26892,1.00000,0.07682,0.20254,0.99780,0.20316,0.00036,14.28463,0.00183,0.14777,0.84639,0.38071,0.08423,1.00000,0.06938,0.02797,0.00000,0.20649,1.00000,1.10558,0.00000,0.58594,0.56933,0.02010,0.00000,159,8,0,0.0605945,0.00304878,0,0.05782,0.09012,0.00000,0
ENSG00000180424,24,67,1.35,2649.77648,4.72433,-4.31311,8.61965,0.49988,0.05768,0.49661,0.07923,0.00000,0.10056,0.11863,0.71458,3.05364,0.18485,0.00000,0.46180,0.01109,0.00000,1.08045,0.53820,0.00000,0.03551,0.11823,0.78328,3.07293,0.18122,0.00000,0.44206,0.96108,0.13520,1.05760,0.42275,0.58589,0.58969,0.01303,0.00000,175,17,1,0.0637059,0.00618857,0.000364033,0.05936,0.09560,0.17299,0
ENSG00000213741,24,67,1.13,1972.76684,-13.14110,-3.67299,-8.20295,0.35702,0.36385,0.49897,0.49717,0.05408,0.92670,0.07622,0.07042,9.54756,0.00287,0.01948,0.02774,0.03495,0.93526,1.04187,0.03700,0.00032,0.12538,0.03798,0.84045,1.19749,0.03417,0.04818,0.17951,0.05709,0.81736,8.31515,0.00313,0.30196,0.30312,0.00000,0.00000,150,3,0,0.0574053,0.00114811,0,0.05829,0.07246,0.00000,4
ENSG00000172809,24,70,1.08,2143.90895,-10.45659,-4.43581,-6.13623,0.50000,0.50000,0.50000,0.50000,0.01892,0.30685,0.02669,0.69315,1.00276,0.00000,0.00000,0.94851,0.54390,0.05149,1.00147,0.00000,0.02018,0.97483,0.18733,0.02517,1.20329,0.00000,0.02153,0.99114,0.31499,0.00886,1.00180,0.00000,0.47508,0.45527,0.00000,0.00000,192,3,0,0.066899,0.0010453,0,0.05519,0.09750,0.00000,0
ENSG00000185068,24,71,0.82,1755.11483,-5.04389,-4.32598,-0.74188,0.50000,0.50000,0.50000,0.50000,0.00060,0.00000,0.01897,1.00000,1.79615,0.00000,0.01755,0.90521,0.02684,0.09479,1.00156,0.00000,0.00654,0.07294,0.02002,0.92706,1.18632,0.00000,0.00061,0.00000,0.01844,1.00000,1.12672,0.00000,0.52639,0.52644,0.00000,0.00000,130,3,0,0.0457746,0.00105634,0,0.05281,0.06397,0.00000,0
ENSG00000127920,24,73,0.63,1750.46724,-12.01972,-4.31688,-7.72829,0.50000,0.50000,0.50000,0.50000,0.02375,1.00000,0.05819,0.00000,1.00260,0.00000,0.02249,1.00000,0.21531,0.00000,1.01024,0.00000,0.02197,0.22810,0.02425,0.77190,1.00174,0.00000,0.02249,1.00000,0.04662,0.00000,1.02168,0.00000,0.43482,0.43460,0.00000,0.00000,120,0,0,0.0410959,0,0,0.03212,0.00000,0.00000,0
ENSG00000177556,24,73,1.13,2396.60755,-2.63299,-3.49382,0.08530,0.50000,0.22922,0.39695,0.50000,0.17733,0.68009,0.22346,0.31241,11.74750,0.00750,0.18474,0.68265,0.19968,0.30523,4.14861,0.01212,0.21045,0.96389,0.30202,0.03611,1.00205,0.00000,0.20390,0.00000,0.21415,1.00000,1.00233,0.00000,0.56545,0.54556,0.00000,0.34987,159,11,1,0.0518591,0.00358774,0.000326158,0.05877,0.07996,0.02476,0
ENSG00000188725,24,74,0.73,1829.14774,-2.12325,-4.29115,1.67534,0.50000,0.49741,0.50000,0.50000,0.01148,0.94075,0.03976,0.03738,1.17932,0.02187,0.00275,0.45546,0.01666,0.51963,1.00000,0.02491,0.00000,0.23106,0.04139,0.76894,1.12662,0.00000,0.00301,0.89693,0.14208,0.08383,1.00000,0.01923,0.62962,0.62790,0.01734,0.00000,124,3,0,0.042966,0.0010395,0,0.04896,0.03742,0.00000,0
ENSG00000224543,24,74,0.65,1741.87279,-9.95998,-4.30289,-5.68279,0.31273,0.26688,0.31257,0.26688,0.00000,0.96025,0.00000,0.02128,5.42608,0.01847,0.00000,0.89737,0.00000,0.08007,4.16339,0.02256,0.00000,0.91639,0.00000,0.06512,5.42666,0.01849,0.00000,0.72493,0.00000,0.25241,4.12925,0.02266,0.42883,0.42962,0.00000,0.00000,107,2,0,0.0380512,0.000711238,0,0.03893,0.04214,0.00000,12
ENSG00000109390,24,76,1.65,3198.30485,14.31132,-3.32363,18.61018,0.08408,0.06927,0.08157,0.13001,0.25714,0.19096,0.26305,0.80227,16.63616,0.00677,0.24560,0.00101,0.24726,0.99375,23.10505,0.00524,0.26107,0.96981,0.26467,0.02331,16.32456,0.00688,0.24704,0.03399,0.24779,0.96050,21.12835,0.00552,0.61318,0.62183,0.00000,0.00000,224,21,0,0.0669856,0.0062799,0,0.07139,0.12404,0.00000,5
ENSG00000120963,24,76,0.42,1132.13879,-12.59835,-4.43150,-8.30883,0.17169,0.17799,0.15796,0.18237,0.00000,0.98302,0.00000,0.01630,586.42789,0.00068,0.00000,0.99763,0.00000,0.00143,2824.73577,0.00094,0.00000,0.99931,0.00031,0.00000,461.12829,0.00069,0.00000,0.94181,0.00000,0.05725,467.86676,0.00095,0.62321,0.62592,0.00000,0.00000,44,0,0,0.0180921,0,0,0.03190,0.00000,0.00000,1
ENSG00000168734,24,76,1.07,2428.49302,10.41856,-4.30861,14.70271,0.50000,0.50000,0.50000,0.50000,0.11634,1.00000,0.11946,0.00000,1.00233,0.00000,0.05910,0.00000,0.11773,1.00000,3.19433,0.00000,0.11047,0.00000,0.11641,1.00000,1.07966,0.00000,0.00060,0.00000,0.11771,1.00000,2.08923,0.00000,0.67205,0.67228,0.00000,0.00000,178,6,0,0.0571245,0.00192555,0,0.04489,0.06282,0.00000,0
ENSG00000170855,24,76,0.78,2032.10267,-11.01252,-4.59287,-6.73338,0.50000,0.50000,0.50000,0.50000,0.06438,0.00000,0.07283,1.00000,1.12618,0.00000,0.05500,0.00000,0.06852,1.00000,1.07468,0.00000,0.07280,1.00000,0.76221,0.00000,3.82185,0.00000,0.01624,0.00000,0.07027,1.00000,1.65914,0.00000,0.54077,0.51784,0.00000,0.00000,133,5,0,0.04375,0.00164474,0,0.04751,0.14091,0.00000,0
ENSG00000171033,24,76,0.48,1517.86947,8.51131,-4.27940,12.76630,0.50000,0.50000,0.50000,0.50000,0.03376,0.00000,0.05214,1.00000,1.00233,0.00000,0.02295,0.00000,0.04670,1.00000,1.00233,0.00000,0.05211,1.00000,0.93964,0.00000,1.12595,0.00000,0.04657,1.00000,0.26382,0.00000,1.22796,0.00000,1.12761,1.12940,0.00000,0.00000,83,2,0,0.031203,0.00075188,0,0.04035,0.10033,0.00000,0
ENSG00000230989,24,76,1.28,2684.91536,-3.68154,-4.01205,-0.38685,0.50000,0.50000,0.50000,0.50000,0.11373,0.00000,0.14091,1.00000,1.00576,0.00000,0.12241,0.00000,0.13568,1.00000,1.11926,0.00000,0.13727,0.01894,0.13882,0.98106,1.00268,0.00000,0.00286,0.00000,0.13436,1.00000,1.12499,0.00000,0.44302,0.43594,0.00000,0.12739,217,7,1,0.0696406,0.00224647,0.000320924,0.07330,0.11174,0.13333,0
ENSG00000173436,24,78,0.96,2361.68396,-3.30105,-5.75081,0.97173,0.50000,0.50000,0.50000,0.50000,0.08013,0.86741,0.20062,0.07895,1.00000,0.05363,0.03569,0.70679,0.35286,0.29321,1.00224,0.00000,0.08703,0.67450,0.09768,0.27163,1.00000,0.05388,0.07250,0.88026,0.54147,0.11974,1.00232,0.00000,0.55852,0.53889,0.00000,0.00000,164,7,0,0.0539119,0.00230112,0,0.06172,0.08890,0.00000,0
ENSG00000125995,24,79,1.09,2127.30009,-0.27119,-4.29149,3.99667,0.50000,0.50000,0.50000,0.50000,0.06042,0.00000,0.06520,1.00000,1.12289,0.00000,0.04848,1.00000,0.09667,0.00000,1.11762,0.00000,0.06517,1.00000,0.06761,0.00000,1.00244,0.00000,0.04844,1.00000,0.58857,0.00000,1.47119,0.00000,0.58449,0.58474,0.00000,0.00000,145,5,0,0.0458861,0.00158228,0,0.09047,0.38900,0.00000,0
ENSG00000188010,24,79,0.79,2264.14927,5.18240,-3.46322,5.61832,0.50000,0.25629,0.49735,0.45171,0.00000,0.84283,0.00000,0.07641,2.07928,0.08075,0.00000,0.61106,0.00000,0.24943,1.04989,0.13951,0.00120,0.87218,0.00715,0.02572,1.50375,0.10211,0.00985,0.70056,0.02822,0.16820,1.00000,0.13123,1.04769,0.60285,0.00000,0.37106,148,5,1,0.0480364,0.00162285,0.00032457,0.03845,0.03365,0.02296,2
ENSG00000164167,24,80,0.80,1928.28881,5.89011,-3.73449,10.08533,0.50000,0.50000,0.50000,0.50000,0.00000,0.06804,0.00000,0.93196,1.13476,0.00000,0.00000,1.00000,0.09543,0.00000,1.12876,0.00000,0.00000,1.00000,0.00061,0.00000,1.52600,0.00000,0.00000,1.00000,0.06811,0.00000,1.14094,0.00000,1.16890,1.18708,0.18049,0.00000,145,1,0,0.0442073,0.000304878,0,0.03732,0.02515,0.00000,0
ENSG00000146386,24,81,1.03,2394.53799,29.34861,-4.29294,33.61887,0.50000,0.50000,0.50000,0.50000,0.01263,0.00000,0.07333,1.00000,2.33324,0.00000,0.06058,0.06560,0.06299,0.93440,1.11745,0.00000,0.00040,0.00000,0.07338,1.00000,1.00217,0.00000,0.06278,1.00000,0.12949,0.00000,1.12220,0.00000,0.87670,0.87696,0.00000,0.00000,181,7,0,0.053204,0.00205761,0,0.05350,0.06754,0.00000,0
ENSG00000189043,24,81,1.00,2871.11954,6.32646,-4.30366,10.52719,0.50000,0.50000,0.50000,0.50000,0.10336,0.42581,0.20379,0.51518,1.00000,0.05901,0.20744,1.00000,0.51472,0.00000,1.00156,0.00000,0.06078,0.51210,0.35486,0.48790,1.00156,0.00000,0.07249,0.01107,0.20946,0.98893,1.00128,0.00000,0.63515,0.63477,0.00000,0.00000,192,10,0,0.0538721,0.00280584,0,0.04680,0.08569,0.00000,0
ENSG00000154813,24,82,0.90,2258.62935,-0.90401,-3.41004,3.35215,0.50000,0.50000,0.50000,0.50000,0.05209,0.00000,0.07525,1.00000,1.00210,0.00000,0.00000,0.59397,0.00000,0.31914,1.00000,0.08689,0.06699,0.77234,0.10278,0.22766,1.08797,0.00000,0.00000,0.86047,0.55422,0.13953,1.07231,0.00000,2.79111,2.31806,0.00000,0.00000,157,2,0,0.0503851,0.000641849,0,0.03838,0.05008,0.00000,0
ENSG00000164405,24,82,1.13,3007.00543,22.16713,-4.28943,26.40996,0.42441,0.11417,0.42441,0.15294,0.22322,0.75832,0.25711,0.23669,18.18813,0.00499,0.24000,0.99281,0.24160,0.00330,5.79029,0.00389,0.22925,0.90913,0.26136,0.08613,18.25370,0.00474,0.23764,0.54870,0.24301,0.44737,5.72048,0.00393,0.73719,0.73716,0.00000,0.00000,201,12,1,0.0583624,0.00348432,0.00029036,0.04916,0.05720,0.07590,2
ENSG00000139053,24,83,0.99,2595.42022,6.39348,-3.69087,9.79416,0.49978,0.29712,0.42021,0.48460,0.02391,0.55363,0.09129,0.43629,5.29624,0.01008,0.05330,0.97272,0.06070,0.01040,2.29359,0.01688,0.01646,0.64442,0.09616,0.32764,1.73494,0.02795,0.05001,0.79778,0.08242,0.17613,1.03547,0.02609,0.69072,0.68523,0.00000,0.44759,197,3,1,0.053943,0.000821468,0.000273823,0.05219,0.08553,0.02649,0
ENSG00000158985,24,84,1.11,2139.85611,16.97965,-1.00924,18.38158,0.50000,0.26623,0.49521,0.50000,0.01259,0.99474,0.02492,0.00420,9.15356,0.00106,0.00875,0.93904,0.02008,0.05600,1.29253,0.00496,0.01410,1.00000,0.02672,0.00000,1.12876,0.00000,0.01187,1.00000,0.08625,0.00000,1.29619,0.00000,1.02585,1.01538,0.00000,1.88878,167,1,1,0.0497024,0.000297619,0.000297619,0.05942,0.05588,0.04834,0
ENSG00000177954,24,84,0.96,2556.67554,4.65801,-4.27315,8.07139,0.50000,0.50000,0.50000,0.50000,0.16367,0.96608,0.28974,0.03392,1.00233,0.00000,0.10215,0.00000,0.15611,1.00000,1.14649,0.00000,0.16241,0.53996,0.16885,0.46004,1.10557,0.00000,0.12531,0.00000,0.15600,1.00000,1.12998,0.00000,0.66001,0.65993,0.00000,0.00000,184,3,1,0.0547619,0.000892857,0.000297619,0.05514,0.06888,0.15223,0
ENSG00000185633,24,85,1.10,2606.05869,-11.17382,-3.05008,-7.06721,0.50000,0.28416,0.34270,0.50000,0.05804,0.93547,0.15107,0.04875,3.72703,0.01578,0.00000,0.03959,0.06644,0.94445,3.59254,0.01596,0.03366,0.45900,0.04555,0.47383,1.00000,0.06716,0.00313,0.79741,0.49384,0.20259,1.00156,0.00000,0.35407,0.38286,0.00000,0.41402,181,7,1,0.0507003,0.00196078,0.000280112,0.05404,0.08513,0.03893,0
ENSG00000143546,24,86,2.73,4072.62860,62.19622,-4.27337,62.67552,0.23894,0.07428,0.21056,0.43829,0.17243,0.74890,0.33387,0.20613,5.36161,0.04497,0.17792,0.00325,0.18515,0.94217,2.82987,0.05458,0.17053,0.81534,0.28997,0.10954,2.72228,0.07512,0.18637,0.93551,0.18849,0.01123,2.89664,0.05326,1.20663,1.20333,0.00000,0.00000,289,41,9,0.0800111,0.0113511,0.00249169,0.12982,0.20326,0.21553,2
ENSG00000267699,24,86,1.03,2474.03379,0.51106,-4.26434,4.75715,0.37088,0.14161,0.37131,0.14168,0.00000,0.48636,0.00000,0.44702,3.21669,0.06662,0.00000,0.80361,0.00000,0.08714,1.74967,0.10925,0.00000,0.84653,0.00000,0.08641,3.18812,0.06706,0.00000,0.16809,0.00000,0.72940,1.90539,0.10251,0.60120,0.59733,0.00000,0.00000,164,3,0,0.0476744,0.000872093,0,0.04310,0.05419,0.00000,29
