Gene,Method,Sequences,Codons,LRT p-value,cAIC,CV(omega),CV(alpha),w1,p1,w2,p2,w3,p3,SRV1,SRV_p1,SRV2,SRV_p2,SRV3,SRV_p3,DH_Rate,TH_Rate,TH_Rate_SI,NUM_ER_SITES,ER_SITES,ΔcAIC,RelativeSupport,WD_unweighted(omega),WD_weighted(omega),WD_unweighted(srv),WD_weighted(srv),ER_Sites_Intersection
Ascaridida-ATP6,BUSTEDS,6,200,0.5,3588.724616730892,0.8728650413028586,1.2872772588665418,0.001893376679737448,0.9886366835837641,0.9965732195088763,0.0,2.436297207366086,0.01136331641623589,0.04714301516684413,0.447357482090351,0.2647403710751763,0.371382602119889,4.858163194570328,0.1812599157897601,,,,0.0,,1.5039155738809313,0.47144266435635246,,,,,
Ascaridida-ATP6,BUSTEDS-MH,6,200,0.4317608467653407,3590.228532304773,1.4113696884276528,1.2250178390208746,0.0,0.5186414512731201,0.005109415269275432,0.4791963478540182,3.804857406365762,0.002162200872861728,0.05949483909806789,0.5149179014429106,0.3497059167224865,0.2728917582381918,4.118628484740731,0.2121903403188976,0.4591843576279139,0.0,0.0,0.0,,,,0.7873057933063382,0.027822248272560062,0.2789506931360436,0.29582894687586003,
Ascaridida-COX1,BUSTEDS,6,527,0.5,8329.45460606107,0.7478112857115307,1.0728657782496067,0.00207809604161577,0.98574524535334,0.6611135778126804,0.01425475464666004,1.002329711350389,0.0,0.04517236056731708,0.0637614583638891,0.3539670686403676,0.531668224276063,1.999471208997163,0.4045703173600479,,,,,,,,,,,,
Ascaridida-COX1,BUSTEDS-MH,6,527,0.2832987626915074,8297.503935180446,1.4141779796521556,1.3332723136810418,0.0,0.4932139830351932,0.005894676460854417,0.5058740022794367,351.4131178757397,0.0009120146853701674,0.1320978594841503,0.4807781787459491,0.8136086864946991,0.496769415417441,23.70856486410379,0.02245240583660989,0.1566718612085732,0.0,0.0,0.0,,31.950670880623875,1.1534531827090854e-07,117.0226950539276,0.3315381254586687,7.418553590625931,1.091324960817289,
Ascaridida-COX2,BUSTEDS,6,239,0.5,3900.319312843047,1.4059923583428973,0.6214367792298117,0.0,0.08594563272556903,0.00389440454388188,0.8842111188214452,1.0,0.02984324845298579,0.0984733813619514,0.1585091594677356,1.169773280791957,0.7280105481425304,1.170104314522764,0.113480292389734,,,,,,,,,,,,
Ascaridida-COX2,BUSTEDS-MH,6,239,0.5,3876.323198777671,1.3972685636160695,1.3143723452787048,0.004022439180002256,1.0,0.004866682513722835,0.0,1.103907117448661,0.0,0.03917767032867564,0.1241695007130585,0.3663056446361729,0.7890672647050607,8.138188238138326,0.08676323458188077,1.484888145199482,0.0,30.67496913007321,,,23.996114065375878,6.156161962179515e-06,0.03630061153283474,0.03018212653042728,2.610282423601541,1.2275415371504375,
Ascaridida-COX3,BUSTEDS,6,256,0.09446851967977371,4596.820076361672,1.4135509846356913,1.3630405362560882,0.001983666584656196,0.9976320208992002,0.007443282272908577,0.0004906171118350297,30.17126468042273,0.001877361988964748,0.0187910013927904,0.1247858012976576,0.1783882611556475,0.7668346251370927,7.943017546046967,0.1083795735652497,,,,1.0,111,6.273944514239702,0.04341404567714009,,,,,
Ascaridida-COX3,BUSTEDS-MH,6,256,0.09507502271578977,4603.094020875912,1.4138257498092939,1.359197849391355,0.00177788877707537,0.7701325004541296,0.004075485223850925,0.2280838121865917,32.01165983324086,0.001783687359278638,0.02155838945901397,0.1216341112091717,0.1939829414514232,0.7732228188795216,8.059358818134681,0.1051430699113067,0.0,0.0,0.0,1.0,111,,,0.614656242558257,0.0067446060603173034,0.044901113483237894,0.05015955762460859,
Ascaridida-CYTB,BUSTEDS,6,369,0.5,7864.48804113254,1.3976834107408467,1.324187599476668,1.651714284977027e-06,0.5960202974935385,0.00786758579829666,0.4026072290090537,1.0,0.001372473497407847,0.0343670394827811,0.2921482016215367,0.1027463706126073,0.4002494142094429,3.084617042658692,0.3076023841690205,,,,,,3.7425412376023814,0.15392795375422205,,,,,
Ascaridida-CYTB,BUSTEDS-MH,6,369,0.5,7868.230582370143,1.4012007662605659,1.3217005851557162,5.746809224809106e-05,0.5629992133076491,0.007542320130945821,0.4370007866923508,1.229439848457173,0.0,0.03509099221114127,0.1758460296401007,0.1106734903410953,0.5306599649709215,3.186093687319453,0.2934940053889779,0.0,7.146390706144242,0.0,,,,,0.0766069768341623,0.001773501795430441,0.0367092390392031,0.08391504421312414,
